The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -12      -1454        0.051626             0.000026 
   -11      -1453        2.912054             0.001508 
   -10      -1452       10.148901             0.008038 
    -9      -1451       21.650798             0.023938 
    -8      -1450       34.930738             0.052229 
    -7      -1449       48.964222             0.094176 
    -6      -1448       61.845301             0.149581 
    -5      -1447       71.115559             0.216061 
    -4      -1446       76.530212             0.289884 
    -3      -1445       77.736410             0.367018 
    -2      -1444       77.742473             0.444757 
    -1      -1443       77.748532             0.522503 
     0      -1442       77.754587             0.600254 
     1      -1441       77.760639             0.678012 
     2      -1440       77.766687             0.755775 
     3      -1439       77.772731             0.833545 
     4      -1438       77.778772             0.911321 
     5      -1437       77.784809             0.989103 
     6      -1436       77.790843             1.066890 
     7      -1435       77.796872             1.144684 
     8      -1434       77.802898             1.222484 
     9      -1433       77.808921             1.300290 
    10      -1432       77.814940             1.378102 
    11      -1431       77.820955             1.455920 
    12      -1430       77.826966             1.533744 
    13      -1429       77.832973             1.611574 
    14      -1428       77.838977             1.689410 
    15      -1427       77.844978             1.767252 
    16      -1426       77.850974             1.845100 
    17      -1425       77.856967             1.922954 
    18      -1424       77.862957             2.000814 
    19      -1423       77.868942             2.078680 
    20      -1422       77.874924             2.156552 
    21      -1421       77.880902             2.234430 
    22      -1420       77.886877             2.312313 
    23      -1419       77.892848             2.390203 
    24      -1418       77.898815             2.468099 
    25      -1417       77.904778             2.546001 
    26      -1416       77.910738             2.623909 
    27      -1415       77.916694             2.701822 
    28      -1414       77.922647             2.779742 
    29      -1413       77.928595             2.857668 
    30      -1412       77.934541             2.935599 
    31      -1411       77.940482             3.013537 
    32      -1410       77.946420             3.091480 
    33      -1409       77.952354             3.169430 
    34      -1408       77.958284             3.247385 
    35      -1407       77.964211             3.325346 
    36      -1406       77.970134             3.403313 
    37      -1405       77.976053             3.481286 
    38      -1404       77.981969             3.559265 
    39      -1403       77.987881             3.637250 
    40      -1402       77.993789             3.715241 
    41      -1401       77.999694             3.793238 
    42      -1400       78.005595             3.871241 
    43      -1399       78.011492             3.949249 
    44      -1398       78.017386             4.027264 
    45      -1397       78.023276             4.105284 
    46      -1396       78.029162             4.183310 
    47      -1395       78.035044             4.261342 
    48      -1394       78.040923             4.339380 
    49      -1393       78.046798             4.417424 
    50      -1392       78.052670             4.495474 
    51      -1391       78.058538             4.573529 
    52      -1390       78.064402             4.651591 
    53      -1389       78.070262             4.729658 
    54      -1388       78.076119             4.807731 
    55      -1387       78.081972             4.885810 
    56      -1386       78.087822             4.963895 
    57      -1385       78.093667             5.041986 
    58      -1384       78.099510             5.120083 
    59      -1383       78.105348             5.198185 
    60      -1382       78.111183             5.276293 
    61      -1381       78.117014             5.354408 
    62      -1380       78.122841             5.432527 
    63      -1379       78.128665             5.510653 
    64      -1378       78.134485             5.588785 
    65      -1377       78.140301             5.666922 
    66      -1376       78.146114             5.745065 
    67      -1375       78.151923             5.823214 
    68      -1374       78.157728             5.901369 
    69      -1373       78.163530             5.979530 
    70      -1372       78.169328             6.057696 
    71      -1371       78.175122             6.135868 
    72      -1370       78.180912             6.214047 
    73      -1369       78.186699             6.292230 
    74      -1368       78.192482             6.370420 
    75      -1367       78.198262             6.448615 
    76      -1366       78.204038             6.526816 
    77      -1365       78.209810             6.605023 
    78      -1364       78.215578             6.683236 
    79      -1363       78.221343             6.761455 
    80      -1362       78.227104             6.839679 
    81      -1361       78.232862             6.917909 
    82      -1360       78.238616             6.996144 
    83      -1359       78.244366             7.074386 
    84      -1358       78.250112             7.152633 
    85      -1357       78.255855             7.230886 
    86      -1356       78.261594             7.309145 
    87      -1355       78.267329             7.387409 
    88      -1354       78.273061             7.465680 
    89      -1353       78.278789             7.543955 
    90      -1352       78.284513             7.622237 
    91      -1351       78.290234             7.700525 
    92      -1350       78.295951             7.778818 
    93      -1349       78.301664             7.857116 
    94      -1348       78.307374             7.935421 
    95      -1347       78.313080             8.013731 
    96      -1346       78.318782             8.092047 
    97      -1345       78.324481             8.170369 
    98      -1344       78.330176             8.248696 
    99      -1343       78.335867             8.327029 
   100      -1342       78.341555             8.405368 
   101      -1341       78.347238             8.483712 
   102      -1340       78.352919             8.562062 
   103      -1339       78.358595             8.640418 
   104      -1338       78.364268             8.718779 
   105      -1337       78.369937             8.797147 
   106      -1336       78.375603             8.875519 
   107      -1335       78.381264             8.953898 
   108      -1334       78.386923             9.032282 
   109      -1333       78.392577             9.110672 
   110      -1332       78.398228             9.189067 
   111      -1331       78.403875             9.267468 
   112      -1330       78.409518             9.345875 
   113      -1329       78.415158             9.424287 
   114      -1328       78.420794             9.502705 
   115      -1327       78.426426             9.581129 
   116      -1326       78.432055             9.659558 
   117      -1325       78.437680             9.737993 
   118      -1324       78.443301             9.816433 
   119      -1323       78.448919             9.894879 
   120      -1322       78.454533             9.973331 
   121      -1321       78.460143            10.051788 
   122      -1320       78.465750            10.130251 
