The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
   -22         -7        0.759861             0.000380 
   -21         -6        4.577219             0.003048 
   -20         -5       11.608924             0.011142 
   -19         -4       21.854975             0.027873 
   -18         -3       35.315372             0.056459 
   -17         -2       51.031289             0.099632 
   -16         -1       66.531451             0.158413 
   -15          0       79.332633             0.231345 
   -14          1       88.910047             0.315467 
   -13          2       95.263693             0.407554 
   -12          3       98.393572             0.504382 
   -11          4       98.752802             0.602955 
   -10          5       98.756271             0.701710 
    -9          6       98.759740             0.800468 
    -8          7       98.763208             0.899229 
    -7          8       98.766677             0.997994 
    -6          9       98.770146             1.096763 
    -5         10       98.773614             1.195535 
    -4         11       98.777083             1.294310 
    -3         12       98.780552             1.393089 
    -2         13       98.784020             1.491871 
    -1         14       98.787489             1.590657 
     0         15       98.790958             1.689446 
     1         16       98.794426             1.788239 
     2         17       98.797895             1.887035 
     3         18       98.801364             1.985835 
     4         19       98.804832             2.084638 
     5         20       98.808301             2.183444 
     6         21       98.811770             2.282254 
     7         22       98.815238             2.381068 
     8         23       98.818707             2.479885 
     9         24       98.822176             2.578705 
    10         25       98.825644             2.677529 
    11         26       98.829113             2.776357 
    12         27       98.832582             2.875187 
    13         28       98.836050             2.974022 
    14         29       98.839519             3.072859 
    15         30       98.842988             3.171701 
    16         31       98.846456             3.270545 
    17         32       98.849925             3.369394 
    18         33       98.853394             3.468245 
    19         34       98.856862             3.567100 
    20         35       98.860331             3.665959 
    21         36       98.863800             3.764821 
    22         37       98.867268             3.863687 
    23         38       98.870737             3.962556 
    24         39       98.874206             4.061428 
    25         40       98.877674             4.160304 
    26         41       98.881143             4.259183 
    27         42       98.884612             4.358066 
    28         43       98.888080             4.456953 
    29         44       98.891549             4.555842 
    30         45       98.895017             4.654736 
    31         46       98.898486             4.753632 
    32         47       98.901955             4.852533 
    33         48       98.905423             4.951436 
    34         49       98.908892             5.050344 
    35         50       98.912361             5.149254 
    36         51       98.915829             5.248168 
    37         52       98.919298             5.347086 
    38         53       98.922767             5.446007 
    39         54       98.926235             5.544931 
    40         55       98.929704             5.643859 
    41         56       98.933173             5.742791 
    42         57       98.936641             5.841726 
    43         58       98.940110             5.940664 
    44         59       98.943578             6.039606 
    45         60       98.947047             6.138551 
    46         61       98.950516             6.237500 
    47         62       98.953984             6.336452 
    48         63       98.957453             6.435408 
    49         64       98.960922             6.534367 
    50         65       98.964390             6.633330 
    51         66       98.967859             6.732296 
